temperature_k,temperature_uncertainty_k,pressure_gpa,pressure_uncertainty_gpa,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom
1956,100,62.8,0.6,76.84,0.04,4.152,0.003,4.605,0.003,4.019,0.008
1962,100,67.0,0.6,75.74,0.06,4.128,0.004,4.582,0.004,4.004,0.009
1992,100,67.5,0.6,75.83,0.06,4.126,0.004,4.582,0.005,4.011,0.009
1999,100,71.8,0.6,74.47,0.02,4.105,0.002,4.567,0.002,3.972,0.005
2015,150,66.9,0.7,75.87,0.06,4.128,0.004,4.583,0.005,4.010,0.009
2029,150,57.8,0.6,78.03,0.02,4.192,0.001,4.623,0.001,4.026,0.001
2037,150,67.3,0.7,75.86,0.06,4.128,0.004,4.582,0.005,4.010,0.009
2054,150,60.0,0.7,77.20,0.02,4.170,0.001,4.611,0.002,4.015,0.004
2061,150,67.8,0.7,75.78,0.05,4.128,0.004,4.583,0.004,4.006,0.009
2069,150,58.4,0.6,77.96,0.02,4.190,0.002,4.624,0.002,4.024,0.005
2080,150,67.7,0.7,75.79,0.05,4.127,0.004,4.582,0.004,4.008,0.009
2103,150,72.7,0.8,74.52,0.04,4.106,0.001,4.567,0.001,3.974,0.002
2139,150,64.2,0.7,76.64,0.03,4.151,0.002,4.598,0.002,4.015,0.005
2160,150,61.1,0.7,77.18,0.01,4.166,0.001,4.609,0.001,4.019,0.002
