source_table,temperature_k,pressure_gpa,log10_fugacity
Table S4,1500.0,9.0,-8.98232431204348
Table S4,1500.0,10.0,-8.63158895865669
Table S4,1500.0,11.0,-8.28262617487002
Table S4,1500.0,12.0,-7.93542416094024
Table S4,1500.0,13.0,-7.5899681106893
Table S4,1500.0,14.0,-7.24624091748017
Table S4,1500.0,15.0,-6.90422373110208
Table S4,1500.0,16.0,-6.56389639924541
Table S4,1500.0,17.0,-6.2252378189148
Table S4,1500.0,18.0,-5.88822621705025
Table S4,1500.0,19.0,-5.55283937513941
Table S4,1500.0,20.0,-5.21905480925671
Table S4,1500.0,21.0,-4.88684991444329
Table S4,1500.0,22.0,-4.55620208042532
Table S4,1500.0,23.0,-4.22708878419865
Table S4,1500.0,24.0,-3.89948766387326
Table S4,1500.0,25.0,-3.57337657728803
Table S4,1500.0,26.0,-3.24873364821522
Table S4,1500.0,27.0,-2.92553730242911
Table S4,1500.0,28.0,-2.60376629548186
Table S4,1500.0,29.0,-2.27927156905566
Table S4,1500.0,30.0,-1.95215433271784
Table S4,1500.0,31.0,-1.62663937566978
Table S4,1500.0,32.0,-1.30269730950195
Table S4,1500.0,33.0,-0.980299713458258
Table S4,1500.0,34.0,-0.659419089449256
Table S4,1500.0,35.0,-0.340028819666622
Table S4,1500.0,36.0,-0.0221031266297924
Table S4,1500.0,37.0,0.294382964493738
Table S4,1500.0,38.0,0.60945366144262
Table S4,1500.0,39.0,0.92313243842851
Table S4,1500.0,40.0,1.23544206784443
Table S4,1500.0,41.0,1.54640465023464
Table S4,1500.0,42.0,1.85604164263747
Table S4,1500.0,43.0,2.1643738854053
Table S4,1500.0,44.0,2.47142162759791
Table S4,1500.0,45.0,2.77720455103942
Table S4,1500.0,46.0,3.081741793122
Table S4,1500.0,47.0,3.38505196843442
Table S4,1500.0,48.0,3.68715318928752
Table S4,1500.0,49.0,3.98806308520394
Table S4,1500.0,50.0,4.28779882143489
Table S4,1500.0,51.0,4.58637711656206
Table S4,1500.0,52.0,4.88381425923926
Table S4,1500.0,53.0,5.18012612412437
Table S4,1500.0,54.0,5.47532818704869
Table S4,1500.0,55.0,5.7694355394681
Table S4,1500.0,56.0,6.06246290223684
Table S4,1500.0,57.0,6.35442463874255
Table S4,1500.0,58.0,6.64533476743843
Table S4,1500.0,59.0,6.93520697380602
Table S4,1500.0,60.0,7.22405462178011
Table S4,1500.0,61.0,7.51189076466511
Table S4,1500.0,62.0,7.7987281555705
Table S4,1500.0,63.0,8.08457925739098
Table S4,1500.0,64.0,8.36945625235567
Table S4,1500.0,65.0,8.65337105116902
Table S4,1500.0,66.0,8.93633530176467
Table S4,1500.0,67.0,9.21836039769224
Table S4,1500.0,68.0,9.49945748615599
Table S4,1500.0,69.0,9.77963747572275
Table S4,1500.0,70.0,10.058911043716
Table S4,1500.0,71.0,10.3372886433118
Table S4,1500.0,72.0,10.6147805103505
Table S4,1500.0,73.0,10.8913966698796
Table S4,1500.0,74.0,11.1671469424392
Table S4,1500.0,75.0,11.4420409501035
Table S4,1500.0,76.0,11.7160881222897
Table S4,1500.0,77.0,11.9892977013448
Table S4,1500.0,78.0,12.2616787479216
Table S4,1500.0,79.0,12.5332401461524
Table S4,1500.0,80.0,12.8039906086317
Table S4,1500.0,81.0,13.0739386812138
Table S4,1500.0,82.0,13.3430927476365
Table S4,1500.0,83.0,13.611461033977
Table S4,1500.0,84.0,13.8790516129476
Table S4,1500.0,85.0,14.1458724080393
Table S4,1500.0,86.0,14.411931197518
Table S4,1500.0,87.0,14.6772356182825
Table S4,1500.0,88.0,14.941793169587
Table S4,1500.0,89.0,15.2056112166367
Table S4,1500.0,90.0,15.4686969940602
Table S4,1500.0,91.0,15.7310576092642
Table S4,1500.0,92.0,15.992700045676
Table S4,1500.0,93.0,16.2536311658777
Table S4,1500.0,94.0,16.5138577146368
Table S4,1500.0,95.0,16.7733863218375
Table S4,1500.0,96.0,17.0322235053167
Table S4,1500.0,97.0,17.2903756736087
Table S4,1500.0,98.0,17.5478491286011
Table S4,1500.0,99.0,17.8046500681074
Table S4,1500.0,100.0,18.060784588358
Table S4,1600.0,0.0,-11.0436898956968
Table S4,1600.0,1.0,-10.7007063691474
Table S4,1600.0,2.0,-10.3589113161317
Table S4,1600.0,3.0,-10.0184547810508
Table S4,1600.0,4.0,-9.6794438593035
Table S4,1600.0,5.0,-9.34195431798044
Table S4,1600.0,6.0,-9.00603870074797
Table S4,1600.0,7.0,-8.67173210956431
Table S4,1600.0,8.0,-8.3390564093935
Table S4,1600.0,9.0,-8.00802333704718
Table S4,1600.0,10.0,-7.67863683276065
Table S4,1600.0,11.0,-7.35089481050913
