source_table,temperature_k,pressure_gpa,log10_fugacity
Table S4,1000.0,79.0,15.5006680867023
Table S4,1000.0,80.0,15.9055812480766
Table S4,1000.0,81.0,16.3093109487468
Table S4,1000.0,82.0,16.7118693533115
Table S4,1000.0,83.0,17.113268401107
Table S4,1000.0,84.0,17.5135198122645
Table S4,1000.0,85.0,17.912635093555
Table S4,1000.0,86.0,18.310625544029
Table S4,1000.0,87.0,18.7075022604622
Table S4,1000.0,88.0,19.1032761426129
Table S4,1000.0,89.0,19.4979578983011
Table S4,1000.0,90.0,19.8915580483159
Table S4,1000.0,91.0,20.2840869311582
Table S4,1000.0,92.0,20.6755547076263
Table S4,1000.0,93.0,21.0659713652499
Table S4,1000.0,94.0,21.4553467225797
Table S4,1000.0,95.0,21.843690433337
Table S4,1000.0,96.0,22.2310119904306
Table S4,1000.0,97.0,22.6173207298448
Table S4,1000.0,98.0,23.0026258344048
Table S4,1000.0,99.0,23.3869363374231
Table S4,1000.0,100.0,23.7702611262325
Table S4,1100.0,0.0,-19.0460220373002
Table S4,1100.0,1.0,-18.5483715964011
Table S4,1100.0,2.0,-18.0532668372728
Table S4,1100.0,3.0,-17.5607387392804
Table S4,1100.0,4.0,-17.0708015357666
Table S4,1100.0,5.0,-16.5834567864643
Table S4,1100.0,6.0,-16.0986964284714
Table S4,1100.0,7.0,-15.6165050860107
Table S4,1100.0,8.0,-15.1368618352351
Table S4,1100.0,9.0,-14.659741563537
Table S4,1100.0,10.0,-14.1851160238096
Table S4,1100.0,11.0,-13.7129546569275
Table S4,1100.0,12.0,-13.2432252365162
Table S4,1100.0,13.0,-12.775894376344
Table S4,1100.0,14.0,-12.3109279307302
Table S4,1100.0,15.0,-11.8482913110807
Table S4,1100.0,16.0,-11.3879497362783
Table S4,1100.0,17.0,-10.929868430629
Table S4,1100.0,18.0,-10.465594631918
Table S4,1100.0,19.0,-9.99535273572752
Table S4,1100.0,20.0,-9.52777308342158
Table S4,1100.0,21.0,-9.06279793693399
Table S4,1100.0,22.0,-8.60037182373387
Table S4,1100.0,23.0,-8.14044141051982
Table S4,1100.0,24.0,-7.68295538575912
