source_line,temperature_k,pressure_gpa,pressure_sigma_gpa,mg_perovskite_volume_a3,mg_perovskite_volume_sigma_a3,ferropericlase_volume_a3,ferropericlase_volume_sigma_a3,ca_perovskite_volume_a3,ca_perovskite_volume_sigma_a3,pressure_medium_volume_a3,pressure_medium_volume_sigma_a3,pressure_medium_volume_2_a3,pressure_medium_volume_2_sigma_a3,gold_volume_a3,gold_volume_sigma_a3
163,300,97.76,0.19,128.005,0.040,54.304,0.028,35.575,0.149,20.664,0.005,,,51.796,0.015
165,1434,109.87,1.37,127.415,0.075,53.702,0.030,35.326,0.106,20.390,0.004,,,51.542,0.014
166,1584,110.44,1.40,127.467,0.067,53.747,0.027,35.376,0.079,20.417,0.005,,,51.590,0.016
167,1820,112.38,1.36,127.563,0.071,53.847,0.025,35.434,0.084,20.455,0.005,,,51.586,0.012
168,1891,112.40,1.33,127.624,0.076,53.890,0.033,35.494,0.093,20.470,0.005,,,51.629,0.010
169,1960,113.00,1.32,127.771,0.074,53.952,0.039,35.572,0.089,20.484,0.006,,,51.625,0.009
170,1968,110.88,1.36,127.752,0.071,54.021,0.032,35.652,0.064,20.549,0.005,,,51.799,0.013
171,1990,110.14,1.31,127.913,0.084,54.008,0.048,35.628,0.096,20.580,0.007,,,51.873,0.010
172,2034,110.53,1.35,127.855,0.093,54.118,0.053,35.609,0.204,20.603,0.009,,,51.869,0.013
173,2098,111.20,1.36,127.938,0.096,54.125,0.053,35.644,0.288,20.607,0.009,,,51.856,0.013
174,2213,111.61,1.38,128.012,0.097,54.253,0.053,35.670,0.168,20.623,0.009,,,51.897,0.015
175,2100,112.15,1.39,127.903,0.085,54.211,0.037,35.657,0.245,20.648,0.008,,,51.781,0.016
176,2308,111.98,1.37,128.045,0.077,54.311,0.045,35.517,0.236,20.657,0.009,,,51.929,0.014
177,2300,112.20,1.41,127.927,0.082,54.312,0.051,35.821,0.249,20.749,0.013,,,51.905,0.017
178,300,98.36,0.20,127.967,0.059,54.241,0.068,35.543,0.352,20.741,0.012,,,51.747,0.016
