volume_ratio,experimental_fit_volume_a3,theoretical_fit_volume_a3,temperature_k,experimental_fit_pressure_gpa,theoretical_fit_pressure_gpa
0.65,106.769,106.74,3500,254.109830820136,259.3
0.65,106.769,106.74,4000,258.329621488418,263.6
0.65,106.769,106.74,4500,262.556447726355,267.8
0.65,106.769,106.74,5000,266.788207194997,272.1
0.64,105.1264,105.1,300,244.595570906018,251.1
0.64,105.1264,105.1,1000,249.025706190223,255.2
0.64,105.1264,105.1,1500,253.021084980562,259.1
0.64,105.1264,105.1,2000,257.160096637645,263.2
0.64,105.1264,105.1,2500,261.358872807151,267.4
0.64,105.1264,105.1,3000,265.588018771093,271.6
0.64,105.1264,105.1,3500,269.834660050027,275.9
0.64,105.1264,105.1,4000,274.092285786806,280.2
0.64,105.1264,105.1,4500,278.357254730107,284.5
0.64,105.1264,105.1,5000,282.627372993119,288.8
0.63,103.4838,103.46,300,261.104818740898,268.7
0.63,103.4838,103.46,1000,265.537265472976,272.7
0.63,103.4838,103.46,1500,269.561199993285,276.7
0.63,103.4838,103.46,2000,273.73476979811,280.8
0.63,103.4838,103.46,2500,277.970685684163,285
0.63,103.4838,103.46,3000,282.238301718403,289.3
0.63,103.4838,103.46,3500,286.524185052955,293.6
0.63,103.4838,103.46,4000,290.821539607123,297.9
0.63,103.4838,103.46,4500,295.126563651513,302.2
0.63,103.4838,103.46,5000,299.436966231412,306.6
0.62,101.8412,101.82,300,278.63800368901,287.4
0.62,101.8412,101.82,1000,283.073019849617,291.4
0.62,101.8412,101.82,1500,287.126829672553,295.4
0.62,101.8412,101.82,2000,291.336620523067,299.6
0.62,101.8412,101.82,2500,295.611492777058,303.8
0.62,101.8412,101.82,3000,299.919476131196,308.1
0.62,101.8412,101.82,3500,304.24654595988,312.5
0.62,101.8412,101.82,4000,308.585603680928,316.8
0.62,101.8412,101.82,4500,312.932677293105,321.2
0.62,101.8412,101.82,5000,317.285372821131,325.5
0.61,100.1986,100.18,300,297.26889499188,307.4
0.61,100.1986,100.18,1000,301.706706378842,311.4
0.61,100.1986,100.18,1500,305.791747199676,315.4
0.61,100.1986,100.18,2000,310.039483332813,319.6
0.61,100.1986,100.18,2500,314.355201783499,323.9
0.61,100.1986,100.18,3000,318.705529213511,328.2
0.61,100.1986,100.18,3500,323.075813224929,332.6
0.61,100.1986,100.18,4000,327.458634099831,337
0.61,100.1986,100.18,4500,331.849838995905,341.4
0.61,100.1986,100.18,5000,336.246924490667,345.8
0.6,98.556,98.53,300,317.077798963051,328.8
0.6,98.556,98.53,1000,321.518595768174,332.8
0.6,98.556,98.53,1500,325.636260314047,336.8
0.6,98.556,98.53,2000,329.923730436567,341
0.6,98.556,98.53,2500,334.282262325878,345.3
0.6,98.556,98.53,3000,338.676994934658,349.7
0.6,98.556,98.53,3500,343.092609270113,354.1
0.6,98.556,98.53,4000,347.521344358481,358.5
0.6,98.556,98.53,4500,351.958855096862,363
0.6,98.556,98.53,5000,356.402521668926,367.4
0.59,96.9134,96.89,300,338.152256517758,351.7
0.59,96.9134,96.89,1000,342.596189589427,355.6
0.59,96.9134,96.89,1500,346.747908479416,359.6
0.59,96.9134,96.89,2000,351.076969076986,363.9
0.59,96.9134,96.89,2500,355.480363595488,368.2
0.59,96.9134,96.89,3000,359.921652041371,372.7
0.59,96.9134,96.89,3500,364.384806906941,377.1
0.59,96.9134,96.89,4000,368.861704212513,381.6
0.59,96.9134,96.89,4500,373.347794241446,386
0.59,96.9134,96.89,5000,377.840333265587,390.5
0.58,95.2708,95.25,300,360.587828391563,376.1
0.58,95.2708,95.25,1000,365.035005160388,380
0.58,95.2708,95.25,1500,369.222247698839,384.1
0.58,95.2708,95.25,2000,373.594826532201,388.4
0.58,95.2708,95.25,2500,378.045219678468,392.8
0.58,95.2708,95.25,3000,382.535309784923,397.2
0.58,95.2708,95.25,3500,387.048315511712,401.7
0.58,95.2708,95.25,4000,391.575726332481,406.2
0.58,95.2708,95.25,4500,396.112774537028,410.7
0.58,95.2708,95.25,5000,400.656584338711,415.2
0.57,93.6282,93.61,300,384.48898080819,402.3
