source_table,source_row,source_reference_as_published,data_class,dynamic_path,pressure_gpa_raw,pressure_uncertainty_gpa_raw,pressure_calibrant,pressure_gpa_fit,pressure_uncertainty_gpa_fit,pressure_scale,pressure_correction_applied,molar_volume_cm3_mol,molar_volume_uncertainty_cm3_mol,volume_a3_conventional_cell,volume_uncertainty_a3_conventional_cell,temperature_k,temperature_uncertainty_k,temperature_provenance,fit1_observed_minus_model_gpa,fit2_observed_minus_model_gpa,fit5_observed_minus_model_gpa,source_cell_note,used_in_fit
Table S1,54,Huang et al. (1987),static_experiment,,18.3,0.01,Au,20.15176588,0.104413295,Fei et al. (2007),1,6.19899868,0.00528857,20.587358970998213,0.017563754188967183,423.0,0.0,experimental_reported,1.05833823693987,1.12992425917656,2.64477973350587,,1
Table S1,55,Huang et al. (1987),static_experiment,,18.3,0.01,Au,20.47379295,0.117665477,Fei et al. (2007),1,6.34899902,0.00541198,21.085521820316934,0.017973608441527032,723.0,0.0,experimental_reported,4.86665623472487,4.93197077238744,5.24624126924327,,1
Table S1,56,Huang et al. (1987),static_experiment,,18.8,0.01,Au,20.47379295,0.117665477,Fei et al. (2007),1,6.30399952,0.00543606,20.936074964810352,0.018053580003002122,723.0,0.0,experimental_reported,3.21957757734956,3.28457542820891,3.75603408133366,,1
Table S1,57,Huang et al. (1987),static_experiment,,19.3,0.01,Au,20.63761491,0.099698623,Fei et al. (2007),1,6.17300131,0.00527653,20.501019673940668,0.017523768408229633,298.0,0.0,experimental_reported,1.06370898976444,1.13901290658287,3.00590090984321,,1
Table S1,58,Huang et al. (1987),static_experiment,,19.8,0.01,Au,20.63761491,0.099698623,Fei et al. (2007),1,6.14899957,0.00530964,20.421308020040367,0.017633729305257886,298.0,0.0,experimental_reported,0.0257478377509237,0.100959275443202,2.03475044034808,,1
Table S1,59,Huang et al. (1987),static_experiment,,19.8,0.01,Au,20.76499087,0.110452079,Fei et al. (2007),1,6.25900002,0.0053578,20.786628109303777,0.017793672428208073,573.0,0.0,experimental_reported,3.04073261350745,3.10856793028912,4.08177417516933,,1
Table S1,60,Huang et al. (1987),static_experiment,,19.8,0.01,Au,21.15822333,0.104227701,Fei et al. (2007),1,6.13599938,0.00531867,20.378133373289003,0.01766371864081105,423.0,0.0,experimental_reported,-0.623857040429229,-0.552510998967765,1.1491752273709,,1
Table S1,61,Huang et al. (1987),static_experiment,,19.8,0.01,Au,21.34091247,0.09972389,Fei et al. (2007),1,6.13300142,0.00531566,20.368176913885357,0.01765372219562666,298.0,0.0,experimental_reported,0.0249926923963599,0.100143415748469,2.07790367394034,,1
Table S1,62,Huang et al. (1987),static_experiment,,20.3,0.01,Au,21.38125392,0.116837453,Fei et al. (2007),1,6.31399874,0.00541499,20.969283155712887,0.017983604886711416,723.0,0.0,experimental_reported,4.49867325530791,4.56374090198436,5.00050819798,,1
Table S1,63,Huang et al. (1987),static_experiment,,20.7,0.01,Au,21.38125392,0.116837453,Fei et al. (2007),1,6.30399952,0.0054481,20.936074964810352,0.01809356578373967,723.0,0.0,experimental_reported,4.12703854734956,4.19203639820891,4.66349505133366,,1
