pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,nacl_molar_volume_cm3_mol,nacl_molar_volume_uncertainty_cm3_mol,iron_molar_volume_cm3_mol,iron_molar_volume_uncertainty_cm3_mol,iron_c_over_a,iron_c_over_a_uncertainty,b1_feo_molar_volume_cm3_mol,b1_feo_molar_volume_uncertainty_cm3_mol,b8_feo_molar_volume_cm3_mol,b8_feo_molar_volume_uncertainty_cm3_mol,b8_feo_c_over_a,b8_feo_c_over_a_uncertainty,b1_observation,b8_observation
131.343680431,0.35124586485,1541.6,107.119372664,11.7204211595,0.0412902488884,4.89108386643,0.00391110393759,1.60521078259,0.000855726649267,8.25230385106,0.0201752316451,8.08317222979,0.0314060044588,2.02617543186,0.00524827570482,measured,measured
131.655341178,1.07193973995,1622.11,108.036994127,11.719478676,0.00315590510455,4.89421598059,0.0315119193335,1.59670856257,0.00685371625369,8.28592060347,0.00257379774866,,,,,measured,not_reported
132.980336383,0.809370684676,1515.41,106.831681162,11.6856297951,0.0124913875199,4.87761861831,0.0230027024735,1.60027609426,0.00503123590321,8.20115427001,0.0235104358537,7.98188837278,,2.05591137872,,measured,measured_two_peaks_uncertainty_unconstrained
133.104236861,1.09426789397,1689.04,108.83731713,11.7256528593,0.0028529189875,4.88827202735,0.0321341029551,1.59674804907,0.00699771015405,8.29136774459,0.002602360866,,,,,measured,not_reported
133.796772316,0.443613674457,1928.63,111.969356969,11.6967542451,0.0442868369252,4.8997388001,0.00650302585896,1.60502653797,0.00142014768631,8.18576894735,0.0249789620753,8.01895977286,,2.05298604971,,measured,measured_two_peaks_uncertainty_unconstrained
133.921242496,0.712387817787,1387.37,105.503444967,11.6770370552,0.0100480906648,4.86269967684,0.0199765672879,1.59965216371,0.00438104498999,8.236546544,0.0193612307237,,,,,measured,detected_one_peak_no_volume
135.537854727,0.724967291588,1690.98,108.861014142,11.6833310093,0.0129840960349,4.87104152696,0.0196437650791,1.60058556403,0.00430319014045,8.23358660609,0.0231414592477,,,,,measured,detected_one_peak_no_volume
135.955585542,0.817148961404,2231.27,116.480354138,11.6729304278,0.0490906327019,4.90562943637,0.0212365417537,1.60176100633,0.00462269792038,8.16178368435,0.0162138459457,,,,,measured,detected_one_peak_no_volume
136.648564028,0.822250256576,1829.69,110.626561458,11.6828531168,0.0165241019188,4.87247893476,0.0226879077098,1.60115366291,0.00497034152016,8.22743980424,0.0263806938574,,,,,measured,detected_one_peak_no_volume
138.203016893,0.815249130378,2431.09,119.766974162,11.7465510749,0.0205475455325,4.90393107235,0.0203342228157,1.60352167534,0.0044326842493,8.13704465626,0.0109449838063,,,,,measured,detected_one_peak_no_volume
138.378936409,0.548565278118,2013.02,113.167488264,11.6818630051,0.0188453057617,4.87275510749,0.0113652650091,1.59962300177,0.00248731828691,8.2437588917,0.00969126976227,8.03329008448,0.0152592210479,2.00336571033,0.00253692653878,measured,measured
139.118706791,0.70935100437,2705.6,124.640924258,11.768326154,0.0228618650061,4.91799872383,0.0142834103058,1.60003717314,0.0030980064225,8.14961817913,0.0377691646558,8.00177665906,0.0238628417758,2.0575257706,0.00409062587018,measured,measured
142.143597012,0.71065867991,2909.3,128.500933849,11.7898170412,0.0125819611134,4.91162889984,0.0125203891857,1.60558014123,0.00272855687959,8.16070793991,0.0177948404739,,,,,measured,detected_one_peak_no_volume
142.458779992,0.721863215562,2895.72,128.237585754,11.8091977123,0.0427127032219,4.90826577841,0.0132377069646,1.60043269684,0.00287760280499,8.14876464602,0.0162588295765,8.02192615696,0.0240277246246,2.05262934023,0.00409876726848,measured,measured
143.203174226,0.154672291464,300,0,11.2460860245,0.0453373744301,4.74213247652,0.00486939258889,1.60027426186,0.00109547953647,,,7.72951871065,,2.02432680097,,not_reported,measured_two_peaks_uncertainty_unconstrained
143.455593862,0.908825347877,3024.73,130.772447022,11.7633062494,0.00951640325197,4.9111207441,0.0208350391949,1.60169251469,0.00453003541153,8.13665562179,0.00821152400015,,,,,measured,not_reported
145.77726358,0.64314066667,1223.44,103.998430757,11.243982692,0.0359568390626,4.77301291916,0.0179819965301,1.6028238471,0.00402568543113,,,7.78151200273,0.0516753239767,2.00523380759,0.00887754690177,not_reported,measured
147.654611308,0.43596939252,1358.27,105.220021384,11.2781572117,0.0448258756555,4.76873848928,0.00954194867136,1.59995418496,0.00213427244176,,,7.76947427388,0.0423865501878,2.00548819941,0.00729399212173,not_reported,measured
149.41649948,0.464352740451,1504.74,106.716013794,11.2688154343,0.0462919825762,4.7660543113,0.0100702058949,1.59986514289,0.00225357222008,,,7.78465238833,0.0610951507064,1.99997496758,0.0104640743485,not_reported,measured
150.931710626,0.326693114812,1387.37,105.503444967,11.2249812375,0.0357644798963,4.74959493815,0.00221654425131,1.60128662258,0.000498193032486,,,7.76972991893,0.0370856306163,2.0137122755,0.00640775508681,not_reported,measured
151.276298094,0.545547386206,1664.79,108.543466409,11.2279073675,0.0433239476711,4.76373376371,0.0128212445611,1.60085823695,0.00287239603521,,,7.78991555512,0.0767615012552,2.00146069864,0.0131482065365,not_reported,measured
151.642718111,0.439174672044,1600.77,107.788927539,11.2372635929,0.0256873256355,4.75757604125,0.00825312523547,1.60299754958,0.00185384874064,,,7.77491671701,0.045894140441,2.01462649415,0.00792802072134,not_reported,measured
152.892591291,0.413001346274,1818.05,110.473084957,11.2657082998,0.0465065615763,4.76274088699,0.00451021154431,1.60182899939,0.00101126470611,,,7.78676616841,0.0434842529836,2.00943297028,0.00748095677064,not_reported,measured
154.375230355,0.470014162859,2016.9,113.223716597,11.2908464003,0.0381556589454,4.76561448935,0.00653146626061,1.60352605255,0.00146513128351,7.89015830927,0.0177051890825,7.81965082165,0.049060779824,2.01399043615,0.00842390055593,measured,measured
154.403304942,0.442290125098,1983.92,112.748952988,11.2658534623,0.0422012305458,4.76337371654,0.00473036842987,1.60258320893,0.00106098596903,7.91036472933,0.00941418942879,7.81673635199,0.0479777193371,2.01094039315,0.00822852653942,measured,measured
154.727609514,0.42342204038,2005.26,113.055329817,11.2533394787,0.0371602192584,4.76264267128,0.00176030408483,1.60222292224,0.000394794759898,7.89728298413,0.0183881973702,7.79350882686,0.0464715075634,2.01323961514,0.00800309437684,measured,measured
155.412795765,0.510764835009,2047.94,113.677102356,11.2726148707,0.048881611543,4.76095997307,0.00877481606969,1.60243251305,0.00196893772764,7.8821959386,0.0217780207424,7.78200902526,0.0448089574731,2.01539475319,0.00773645447202,measured,measured
155.503124877,0.516648317717,2135.24,114.985640843,11.2599102679,0.0406104290967,4.76589149598,0.00835106720991,1.60412494412,0.00187389288136,7.89105420557,0.0184968747806,7.81375897461,0.0495130903252,2.01243402993,0.00850139932404,measured,measured
155.744599219,0.496841352439,2189.56,115.824149468,11.2597283838,0.0379360837944,4.76781329682,0.0064244883109,1.60379019968,0.00144070677682,7.90694428347,0.0113285585139,7.78860390388,0.0438661128755,2.01349981227,0.00756014052753,measured,measured
155.982534269,0.545536112242,2153.67,115.268074071,11.2659917961,0.0448729020293,4.76400920013,0.00983978293706,1.60319417221,0.00220753599161,7.90644260238,0.0089228729447,7.7876678501,0.0512288537281,2.01285909283,0.00882732939878,measured,measured
