plot_order,series_order,temperature_k,pressure_gpa,volume_a3_conventional_cell,plot_x_pt,plot_y_pt,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3,source_series,source_marker,used_in_reconstructed_fit
51,51,300,71.843883963,48.853457433,445.458497,184.309493,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
52,52,300,72.356263890,48.776599133,446.162507,185.321994,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
53,53,300,73.285672944,48.736479870,447.439515,185.850509,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
54,54,300,74.502902693,48.666340515,449.111988,186.774497,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
55,55,300,75.944322595,48.586139942,451.092499,187.831027,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
56,56,300,78.379554254,48.499264790,454.438508,188.975485,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
57,57,300,79.276571536,48.425745208,455.671009,189.944003,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
58,58,300,80.814052959,48.365587606,457.783509,190.736495,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
59,59,300,81.295115717,48.228571704,458.444489,192.541488,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
60,60,300,81.327143628,48.302129241,458.488495,191.572470,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
61,61,300,83.249262413,48.178468909,461.129487,193.201522,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
62,62,300,83.697608723,48.068172337,461.745514,194.654525,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
63,63,300,84.691051394,47.991351991,463.110505,195.666525,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
64,64,300,85.363526445,47.957951673,464.034485,196.106528,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
65,65,300,86.517108664,47.881058274,465.619507,197.119491,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
66,66,300,86.869349043,47.807578424,466.103486,198.087485,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
67,67,300,87.958875440,47.757437675,467.600495,198.748019,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
68,68,300,88.727434210,47.703961063,468.656495,199.452499,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
69,69,300,91.354811124,47.650519552,472.266510,200.156516,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
70,70,300,91.386816816,47.580340464,472.310486,201.081027,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
71,71,300,92.283834098,47.510240141,473.542988,202.004500,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
72,72,300,92.988723140,47.496879938,474.511506,202.180502,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
73,73,300,93.789656696,47.466745984,475.611988,202.577475,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
74,74,300,94.846808315,47.419945730,477.064515,203.194003,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
75,75,300,96.320603002,47.373224239,479.089509,203.809493,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
76,76,300,97.826425593,47.313027606,481.158509,204.602500,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
77,77,300,99.204158766,47.219431731,483.051514,205.835494,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
78,78,300,101.510545841,47.132668664,486.220490,206.978476,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
79,79,300,103.977805397,47.029051304,489.610505,208.343490,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
80,80,300,106.668482959,46.875332926,493.307496,210.368514,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
81,81,300,109.936306998,46.718278687,497.797486,212.437484,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
82,82,300,111.474157507,46.561257769,499.910492,214.506015,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
83,83,300,115.447239669,46.387463099,505.369507,216.795516,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
84,84,300,117.977799894,46.237127805,508.846497,218.775973,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
85,85,300,122.014915666,46.083447382,514.393494,220.800498,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
86,86,300,124.321324938,45.933069500,517.562500,222.781516,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
87,87,300,124.834073937,45.789372608,518.267018,224.674521,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
88,88,300,125.795141838,45.635658864,519.587525,226.699484,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
89,89,300,127.493065251,45.522020018,521.920472,228.196517,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
90,90,300,133.068053737,45.401744547,529.580506,229.780978,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
91,91,300,134.541506761,45.274783453,531.605030,231.453513,0.75,0.08,Monteseguro et al. (2019) 300 K observations replotted,filled black circle,1
92,1,830,2.354803301,57.083590646,349.980500,75.889010,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
93,2,830,7.736891372,55.894017601,357.375489,91.559970,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
94,3,830,8.409388635,55.823876468,358.299500,92.483981,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
95,4,830,9.979267041,55.693536924,360.456513,94.201022,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
96,5,830,12.350442886,55.479703533,363.714509,97.017978,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
97,6,830,15.938501605,55.095370524,368.644501,102.081027,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
98,7,830,21.640824349,54.370283840,376.479493,111.633029,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
99,8,830,24.076056008,53.738721754,379.825501,119.952975,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
100,9,830,26.638644145,53.701980940,383.346497,120.436984,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
101,10,830,31.957431561,53.043694893,390.654511,129.108981,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
102,11,830,35.545490280,52.502381776,395.584504,136.240023,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
103,12,830,40.479254254,51.961073291,402.363495,143.371005,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
104,13,830,44.996722041,51.476543960,408.570496,149.754000,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
105,14,830,46.213604909,51.550099718,410.242493,148.785006,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
106,15,830,49.289305913,51.119009043,414.468506,154.464022,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
107,16,830,53.069509887,50.804895932,419.662507,158.602023,0.75,0.08,Anzellini et al. (2025) present-study 830 K isotherm,filled dark-red circle,1
